ID,organization_type,name,city,nb_women_dir,total_nb_dir,nb_women_expos,total_nb_expos
1,Structure,Le Jeu de Paume,Paris,1,1,4,29
2,Festival,Les Rencontres d'Arles,,0,1,28,50
3,Festival,Les photaumnales,Beauvais,0,1,14,34
4,Structure,La Chambre,Strasbourg,1,2,2,3
5,Festival,Boutographies,Montpellier,0,1,11,18
6,Festival,Photo marseille,,0,1,24,47
7,Structure,Diaphane – Pôle photographique en Picardie,Clermont,1,1,13,16
8,Structure,Centre Photographique,Marseille,0,1,19,42
9,Festival,Eté photographique de Lectoure,,1,1,7,19
10,Structure,Le Centre photographique d’Ile-de-France (CPIF),Pontault Combault,1,1,7,15
11,Festival,Circulations,Paris,1,1,16,30
12,Festival,Visa pour l'image,Perpignan,0,1,7,25
13,Festival,Les promenades de Vendôme,,1,1,11,27
16,Festival,Planche contact,Deauville,1,1,14,31
17,Structure,Centre d'art Image/Imatge,Orthez,0,1,3,8
18,Structure,Graph-CMI,Carcasonne,0,1,24,52
19,Festival,La Gacilly,,1,1,10,21
20,Structure,Centre d'art Gwinzegal,Guingamp,0,1,11,43
21,Festival,Itinéraires des photographes voyageurs,Bordeaux,1,2,5,17
22,Festival,Manifesto,Toulouse,0,1,9,20
23,Structure,Hotel de Fontfreyde - Centre photographique de Clermont-Ferrand,,0,1,3,13
24,Festival,MAP,Toulouse,0,1,9,11
25,Structure,Le Centre régional de la photographie Hauts-de-France (CRP),Douchy les Mînes,2,2,6,8
26,Structure,Cri des lumières,Luneville,1,1,2,5
27,Festival,Quinzaine photographique,Nantes,0,1,5,6
28,Festival,Portrait(s),Vichy,1,1,6,12
29,Festival,ImagesSingulières,Sète,1,1,3,11
30,Structure,Le Centre de photographie de Lectoure,,0,1,5,10
32,Structure,Destin Sensible,Mons en Baroeul,0,1,1,2
33,Structure,La Capsule,Le Bourget,0,1,6,12
34,Structure,Maison européenne de la photographie,Paris,0,1,5,13
35,Structure,Le Point du Jour – Centre régional de la photographie,Cherbourg,0,1,1,2
36,Structure,L'imagerie,Lannion,2,2,17,60
37,Structure,Simultania - Pole photographique,Strasbourg/Givors,1,1,4,8
38,Structure,Maison Photographique Robert Doisneau - Le lavoir Numerique,Gentilly,2,2,0,3
39,Structure,Centre Photographique de Rouen,,1,1,5,9
40,Structure,Galerie Carré d'Art,Chartres de Bretagne,1,1,7,10
41,Structure,Le Bal,Paris,1,1,13,33
42,Structure,Le Centre d'Art Contemporain Photographique - Villa Pérochon,Niort,1,1,6,21
43,Structure,Musée Niepce,Chalon sur Saone,0,1,22,130
44,Structure,Galerie Le lieu,Lorient,1,3,0,3
45,Structure,Galerie Confluence,Nantes,0,1,3,8
46,Structure,Carré Amelot,La Rochelle,0,1,16,30
51,Festival,Nicéphore +,Clermont-Ferrand,0,1,12,17
52,Festival,Les photographiques du Mans,Le Mans,0,1,9,19
53,Festival,Biennale de la photographie de Mulhouse,,1,1,13,22
54,Festival,Fictions documentaires,Carcassonne,0,1,8,9
55,Festival,L'image satellite,Nice,0,1,7,12
56,Festival,Les femmes s'exposent,Houlgate,1,1,13,13
57,Festival,PhotoSaintGermain,Paris,1,1,14,36
58,Festival,Rencontres de la jeune photographie internationale,Niort,0,1,16,21
