Organization ID,Organization type,name,annee,nb_femmes_laureates,nb_total_laureates
new,prix,Prix Caritas Photo sociale,2021,1,2
new,prix,Prix Caritas Photo sociale,2022,0,1
new,prix,Prix Lucas Dolega,2021,0,1
new,prix,Prix Lucas Dolega,2022,0,1
new,prix,Prix Photographie & Sciences,2021,0,1
new,prix,Prix Photographie & Sciences,2022,1,1
new,prix,Prix Viviane Esders,2022,0,1
new,prix,Prix du tirage de Collection Florence et Damien Bachelot,2021,0,2
new,prix,Prix du tirage de Collection Florence et Damien Bachelot,2022,1,1
new,prix,Prix Camille Lepage,2021,1,1
new,prix,Prix Camille Lepage,2022,1,1
new,prix,Prix Pierre et Alexandra Boulat,2021,1,1
new,prix,Prix Pierre et Alexandra Boulat,2022,1,1
new,prix,Prix ANI-PixTrakk,2021,0,1
new,prix,Prix ANI-PixTrakk,2022,0,1
new,prix,Prix SCAM Roger Pic,1993,1,1
new,prix,Prix SCAM Roger Pic,1994,1,1
new,prix,Prix SCAM Roger Pic,1995,0,1
new,prix,Prix SCAM Roger Pic,1996,1,1
new,prix,Prix SCAM Roger Pic,1997,0,1
new,prix,Prix SCAM Roger Pic,1998,1,1
new,prix,Prix SCAM Roger Pic,1999,0,1
new,prix,Prix SCAM Roger Pic,2000,0,1
new,prix,Prix SCAM Roger Pic,2001,0,1
new,prix,Prix SCAM Roger Pic,2002,0,1
new,prix,Prix SCAM Roger Pic,2003,0,1
new,prix,Prix SCAM Roger Pic,2004,0,1
new,prix,Prix SCAM Roger Pic,2005,0,1
new,prix,Prix SCAM Roger Pic,2006,0,1
new,prix,Prix SCAM Roger Pic,2007,0,1
new,prix,Prix SCAM Roger Pic,2008,0,1
new,prix,Prix SCAM Roger Pic,2009,0,1
new,prix,Prix SCAM Roger Pic,2010,0,1
new,prix,Prix SCAM Roger Pic,2011,0,1
new,prix,Prix SCAM Roger Pic,2012,0,1
new,prix,Prix SCAM Roger Pic,2013,0,1
new,prix,Prix SCAM Roger Pic,2014,1,1
new,prix,Prix SCAM Roger Pic,2016,0,1
new,prix,Prix SCAM Roger Pic,2017,0,1
new,prix,Prix SCAM Roger Pic,2018,1,1
new,prix,Prix SCAM Roger Pic,2019,0,1
new,prix,Prix SCAM Roger Pic,2020,1,1
new,prix,Prix SCAM Roger Pic,2021,0,1
new,prix,Prix SCAM Roger Pic,2022,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2007,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2008,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2009,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2010,1,1
new,prix,Prix Marc Ladreit de Lacharrière,2011,1,1
new,prix,Prix Marc Ladreit de Lacharrière,2012,1,1
new,prix,Prix Marc Ladreit de Lacharrière,2013,1,1
new,prix,Prix Marc Ladreit de Lacharrière,2014,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2015,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2016,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2017,1,1
new,prix,Prix Marc Ladreit de Lacharrière,2018,1,1
new,prix,Prix Marc Ladreit de Lacharrière,2020,0,1
new,prix,Prix Marc Ladreit de Lacharrière,2022,0,1
new,prix,Prix de la jeune création de Levallois,2012,1,1
new,prix,Prix de la jeune création de Levallois,2013,0,1
new,prix,Prix de la jeune création de Levallois,2014,1,1
new,prix,Prix de la jeune création de Levallois,2015,0,1
new,prix,Prix de la jeune création de Levallois,2016,0,1
new,prix,Prix de la jeune création de Levallois,2017,1,1
new,prix,Prix de la jeune création de Levallois,2018,0,1
new,prix,Prix de la jeune création de Levallois,2019,1,1
new,prix,Prix de la jeune création de Levallois,2020,0,1
new,prix,Prix de la jeune création de Levallois,2021,0,1
new,prix,Prix Découverte Louis Roederer,2017,0,2
new,prix,Prix Découverte Louis Roederer,2018,1,1
new,prix,Prix Découverte Louis Roederer,2019,1,2
new,prix,Prix Découverte Louis Roederer,2020,1,2
new,prix,Prix Découverte Louis Roederer,2021,1,1
new,prix,Prix Découverte Louis Roederer,2022,0,1
new,prix,Prix Picto de la photographie de mode,2021,0,1
new,prix,Prix Picto de la photographie de mode,2022,0,1
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2012,0,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2013,1,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2014,0,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2015,0,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2016,0,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2017,1,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2018,1,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2019,0,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2020,1,2
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2021,2,4
new,prix,Paris Photo - Aperture Foundation PhotoBook Awards,2022,1,3
new,prix,Prix Luma Dummy Book Award,2021,1,1
new,prix,Prix Luma Dummy Book Award,2022,0,1
new,prix,Prix de photographie- William Klein - Académie des Beaux-Arts,2019,0,1
new,prix,Prix de photographie- William Klein - Académie des Beaux-Arts,2021,1,1
new,prix,Bourse du Talent,2016,1,4
new,prix,Bourse du Talent,2017,3,4
new,prix,Bourse du Talent,2018,2,3
new,prix,Bourse du Talent,2019,1,4
new,prix,Bourse du Talent,2021,1,3
new,prix,Bourse du Talent,2022,5,6
new,prix,Bourse Photographe Lagardère,1991,0,1
new,prix,Bourse Photographe Lagardère,1992,0,1
new,prix,Bourse Photographe Lagardère,1993,0,1
new,prix,Bourse Photographe Lagardère,1994,0,1
new,prix,Bourse Photographe Lagardère,1996,0,1
new,prix,Bourse Photographe Lagardère,1997,0,1
new,prix,Bourse Photographe Lagardère,1998,0,1
new,prix,Bourse Photographe Lagardère,1999,0,1
new,prix,Bourse Photographe Lagardère,2000,1,1
new,prix,Bourse Photographe Lagardère,2000,0,1
new,prix,Bourse Photographe Lagardère,2001,0,1
new,prix,Bourse Photographe Lagardère,2001,1,1
new,prix,Bourse Photographe Lagardère,2002,0,1
new,prix,Bourse Photographe Lagardère,2002,0,1
new,prix,Bourse Photographe Lagardère,2003,0,1
new,prix,Bourse Photographe Lagardère,2004,1,1
new,prix,Bourse Photographe Lagardère,2005,1,1
new,prix,Bourse Photographe Lagardère,2006,1,1
new,prix,Bourse Photographe Lagardère,2006,1,1
new,prix,Bourse Photographe Lagardère,2007,0,1
new,prix,Bourse Photographe Lagardère,2008,1,1
new,prix,Bourse Photographe Lagardère,2009,0,1
new,prix,Bourse Photographe Lagardère,2010,1,1
new,prix,Bourse Photographe Lagardère,2011,1,1
new,prix,Bourse Photographe Lagardère,2012,0,1
new,prix,Bourse Photographe Lagardère,2013,0,1
new,prix,Bourse Photographe Lagardère,2014,0,1
new,prix,Bourse Photographe Lagardère,2015,1,1
new,prix,Bourse Photographe Lagardère,2016,1,1
new,prix,Bourse Photographe Lagardère,2017,0,1
new,prix,Bourse Photographe Lagardère,2018,1,1
new,prix,Bourse Photographe Lagardère,2019,0,1
new,prix,Bourse Photographe Lagardère,2020,1,1
new,prix,Bourse Photographe Lagardère,2021,1,1
new,prix,Bourse Photographe Lagardère,2022,1,1
new,prix,Prix HSBC pour la photographie,1996,0,2
new,prix,Prix HSBC pour la photographie,1997,0,2
new,prix,Prix HSBC pour la photographie,1998,1,2
new,prix,Prix HSBC pour la photographie,1999,2,2
new,prix,Prix HSBC pour la photographie,2000,2,2
new,prix,Prix HSBC pour la photographie,2001,1,3
new,prix,Prix HSBC pour la photographie,2002,1,2
new,prix,Prix HSBC pour la photographie,2003,1,2
new,prix,Prix HSBC pour la photographie,2004,1,2
new,prix,Prix HSBC pour la photographie,2005,1,2
new,prix,Prix HSBC pour la photographie,2006,2,3
new,prix,Prix HSBC pour la photographie,2007,1,2
new,prix,Prix HSBC pour la photographie,2008,1,2
new,prix,Prix HSBC pour la photographie,2009,0,2
new,prix,Prix HSBC pour la photographie,2010,1,3
new,prix,Prix HSBC pour la photographie,2011,2,2
new,prix,Prix HSBC pour la photographie,2012,1,2
new,prix,Prix HSBC pour la photographie,2013,2,2
new,prix,Prix HSBC pour la photographie,2014,2,2
new,prix,Prix HSBC pour la photographie,2015,1,2
new,prix,Prix HSBC pour la photographie,2016,1,2
new,prix,Prix HSBC pour la photographie,2017,2,2
new,prix,Prix HSBC pour la photographie,2018,0,2
new,prix,Prix HSBC pour la photographie,2019,1,2
new,prix,Prix HSBC pour la photographie,2020,2,2
new,prix,Prix HSBC pour la photographie,2021,1,2
