Nom (ne pas importer),id,annee,nb_femmes_exposees_expo_collective,nb_total_exposes_expo_collective
"CRP/
Centre régional de la photographie Hauts-de-France
Douchy les Mînes",28,2017,1,3
"CRP/
Centre régional de la photographie Hauts-de-France
Douchy les Mînes",28,2016,2,4
"CRP/
Centre régional de la photographie Hauts-de-France
Douchy les Mînes",28,2015,1,4
"Cri des lumières
Lunéville ",29,2021,24,52
"Cri des lumières
Lunéville ",29,2020,5,12
"Cri des lumières
Lunéville ",29,2019,0,1
"Cri des lumières
Lunéville ",29,2018,2,7
"Cri des lumières
Lunéville ",29,2017,1,6
"Lectoure
Centre de photographie",33,2021,4,8
"Lectoure
Centre de photographie",33,2020,2,6
"Lectoure
Centre de photographie",33,2019,10,20
"Lectoure
Centre de photographie",33,2018,4,12
"Lectoure
Centre de photographie",33,2017,2,2
"Destin Sensible
Mons en Baroeul",35,2021,3,8
"Destin Sensible
Mons en Baroeul",35,2020,2,5
"Destin Sensible
Mons en Baroeul",35,2019,0,4
"Destin Sensible
Mons en Baroeul",35,2018,4,0
"Destin Sensible
Mons en Baroeul",35,2017,0,4
"La Capsule
Le Bourget ",36,2021,5,13
"La Capsule
Le Bourget ",36,2020,3,5
"La Capsule
Le Bourget ",36,2019,0,3
"La Capsule
Le Bourget ",36,2018,0,2
"La Capsule
Le Bourget ",36,2017,1,4
MEP,37,2021,3,8
MEP,37,2020,3,4
MEP,37,2019,17,33
"Le Point du Jour
Centre régional de la photographie
Cherbourg",38,2021,0,3
"Le Point du Jour
Centre régional de la photographie
Cherbourg",38,2020,1,4
"Le Point du Jour
Centre régional de la photographie
Cherbourg",38,2019,3,6
"Le Point du Jour
Centre régional de la photographie
Cherbourg",38,2018,2,5
"Le Point du Jour
Centre régional de la photographie
Cherbourg",38,2017,2,4
"Le Point du Jour
Centre régional de la photographie
Cherbourg",38,2016,2,4
"Le Point du Jour
Centre régional de la photographie
Cherbourg",38,2015,1,3
"L'imagerie
Lannion",39,2021,1,2
"L'imagerie
Lannion",39,2020,3,4
"L'imagerie
Lannion",39,2019,9,43
"L'imagerie
Lannion",39,2018,13,23
"L'imagerie
Lannion",39,2017,7,29
"Simultania
Pole photographique-Strasbourg/Givors",40,2021,6,21
"Simultania
Pole photographique-Strasbourg/Givors",40,2020,1,4
"Simultania
Pole photographique-Strasbourg/Givors",40,2019,4,13
"Simultania
Pole photographique-Strasbourg/Givors",40,2018,3,6
"Simultania
Pole photographique-Strasbourg/Givors",40,2017,4,10
"Simultania
Pole photographique-Strasbourg/Givors",40,2016,3,8
"Simultania
Pole photographique-Strasbourg/Givors",40,2015,11,17
"Le lavoir numérique
Maison Photographique- Robert Doisneau
Gentilly",41,2021,16,30
